"PCORRES"	"Lower_Limit"	"Upper_Limit"
"1"	0	5	500
"2"	0	5	500
"3"	0	5	500
"4"	0	5	100
"5"	0	5	100
"6"	0	5	100
"7"	0	5	100
"8"	0	5	100
"9"	0	5	100
"10"	0	5	100
"11"	0	5	100
"12"	0	5	100
"13"	0	5	100
"14"	0	5	100
"15"	0	5	100
"16"	0	5	500
"17"	0	5	500
"18"	0	5	500
"19"	0	5	100
"20"	0	5	100
"21"	0	5	100
"22"	0	5	100
"23"	0	5	100
"24"	0	5	100
"25"	0	5	500
"26"	0	5	500
"27"	0	5	500
"28"	0	5	100
"29"	0	5	100
"30"	0	5	100
"31"	0	5	100
"32"	0	5	100
"33"	0	5	100
"34"	0	5	500
"35"	0	5	500
"36"	0	5	500
"37"	0	5	100
"38"	0	5	100
"39"	0	5	100
"40"	0	5	100
"41"	0	5	100
"42"	0	5	100
"43"	0	5	100
"44"	0	5	100
"45"	0	5	100
"46"	0	5	100
"47"	0	5	100
"48"	0	5	100
"49"	0	5	100
"50"	0	5	100
"51"	0	5	500
"52"	0	5	500
"53"	0	5	500
"54"	0	5	100
"55"	0	5	100
"56"	0	5	100
"57"	0	5	100
"58"	0	5	100
"59"	0	5	100
"60"	0	5	100
"61"	0	5	100
"62"	0	5	100
"63"	0	5	100
"64"	0	5	100
"65"	0	5	100
"66"	0	5	100
"67"	0	5	500
"68"	0	5	500
"69"	0	5	500
"70"	0	5	100
"71"	0	5	100
"72"	0	5	100
"73"	0	5	100
"74"	0	5	100
"75"	0	5	100
"76"	0	5	500
"77"	0	5	500
"78"	0	5	500
"79"	0	5	100
"80"	0	5	100
"81"	0	5	500
"82"	0	5	500
"83"	0	5	500
"84"	0	5	100
"85"	0	5	500
"86"	0	5	500
"87"	0	5	500
"88"	0	5	100
"89"	0	5	100
"90"	0	5	100
"91"	0	5	100
"92"	0	5	100
"93"	0	5	100
"94"	0	5	100
"95"	0	5	100
"96"	0	5	100
"97"	0	5	100
"98"	0	5	100
"99"	0	5	100
"100"	0	5	100
"101"	0	5	500
"102"	0	5	500
"103"	0	5	500
"104"	0	5	500
"105"	0	5	500
"106"	0	5	500
"107"	0	5	500
"108"	0	5	100
"109"	0	5	100
"110"	0	5	100
"111"	0	5	100
"112"	0	5	100
"113"	0	5	500
"114"	0	5	500
"115"	0	5	100
"116"	0	5	100
"117"	0	5	500
"118"	0	5	500
"119"	0	5	500
"120"	0	5	100
"121"	0	5	100
"122"	0	5	100
"123"	0	5	100
"124"	0	5	100
"125"	0	5	100
"126"	0	5	100
"127"	0	5	100
"128"	0	5	100
"129"	0	5	500
"130"	0	5	500
"131"	0	5	500
"132"	0	5	100
"133"	0	5	100
"134"	0	5	100
"135"	0	5	100
"136"	0	5	100
"137"	0	5	100
"138"	0	5	500
"139"	0	5	500
"140"	0	5	500
"141"	0	5	100
"142"	0	5	100
"143"	0	5	100
"144"	0	5	100
"145"	0	5	100
"146"	0	5	500
"147"	0	5	500
"148"	0	5	500
"149"	0	5	100
"150"	0	5	100
"151"	0	5	100
"152"	0	5	100
"153"	0	5	100
"154"	0	5	100
"155"	0	5	100
"156"	0	5	100
"157"	0	5	100
"158"	0	5	100
"159"	0	5	100
"160"	0	5	100
"161"	0	5	100
"162"	0	5	100
"163"	533.9032218	5	500
"164"	523.9230985	5	500
"165"	838.2192116	5	100
"166"	480.1440046	5	100
"167"	406.9366023	5	100
"168"	574.7328363	5	100
"169"	707.0265619	5	100
"170"	764.7624292	5	100
"171"	365.4602507	5	100
"172"	845.9053513	5	100
"173"	209.6241902	5	100
"174"	751.1109146	5	100
"175"	610.1141492	5	500
"176"	544.6348554	5	500
"177"	104.5414042	5	100
"178"	661.9659769	5	100
"179"	980.3583391	5	100
"180"	320.8411414	5	100
"181"	237.9129743	5	100
"182"	714.9322239	5	100
"183"	148.3117952	5	100
"184"	262.0135298	5	100
"185"	507.6234059	5	100
"186"	400.820025	5	100
"187"	310.1340237	5	100
"188"	551.8002551	5	100
"189"	979.6480299	5	500
"190"	969.7805564	5	500
"191"	347.3759884	5	100
"192"	217.1615143	5	100
"193"	110.8070023	5	100
"194"	717.7069605	5	100
"195"	370.2629051	5	100
"196"	566.8379089	5	100
"197"	603.8534991	5	100
"198"	994.6661019	5	100
"199"	205.5774469	5	100
"200"	578.8978139	5	100
"201"	538.7282842	5	100
"202"	612.9611966	5	100
"203"	586.0050889	5	100
"204"	332.8835634	5	100
"205"	559.7069546	5	500
"206"	913.4542079	5	100
"207"	834.3194429	5	100
"208"	121.7946157	5	100
"209"	295.2035242	5	100
"210"	139.7926168	5	100
"211"	575.9739851	5	100
"212"	619.267507	5	100
"213"	795.8987033	5	100
"214"	132.1191858	5	100
"215"	502.6905382	5	100
"216"	720.8654047	5	100
"217"	0	5	100
"218"	814.664113	5	100
"219"	909.1691603	5	500
"220"	959.633601	5	500
"221"	967.5290357	5	100
"222"	970.0717324	5	100
"223"	284.0579575	5	100
"224"	976.5906418	5	100
"225"	548.0036039	5	500
"226"	945.3606005	5	100
"227"	322.0718922	5	100
"228"	925.2037668	5	100
"229"	161.9725878	5	100
"230"	252.64581	5	100
"231"	430.9613216	5	100
"232"	599.0403688	5	100
"233"	495.7902634	5	100
"234"	417.2171347	5	100
"235"	955.0691542	5	100
"236"	852.9063218	5	100
"237"	600.3621806	5	100
"238"	314.8407709	5	100
"239"	272.4534214	5	100
"240"	864.8702504	5	100
"241"	512.7109367	5	500
"242"	579.3424798	5	500
"243"	577.3081719	5	500
"244"	319.6996669	5	100
"245"	879.1090538	5	100
"246"	645.6707975	5	100
"247"	109.2638745	5	100
"248"	765.1228262	5	100
"249"	608.1019003	5	100
"250"	388.455678	5	100
"251"	300.5688134	5	100
"252"	427.00681	5	100
"253"	918.2838882	5	100
"254"	744.9507958	5	100
"255"	630.0803378	5	500
"256"	867.8978278	5	500
"257"	425.5521043	5	100
"258"	367.9158661	5	100
"259"	761.8875543	5	100
"260"	635.7208456	5	100
"261"	257.9484757	5	100
"262"	444.8314417	5	100
"263"	270.5818311	5	100
"264"	616.8997207	5	100
"265"	653.3033863	5	100
"266"	841.3106926	5	100
"267"	275.3471472	5	100
"268"	776.4698617	5	500
"269"	392.0815622	5	100
"270"	288.5938883	5	100
"271"	855.7613291	5	100
"272"	635.0365021	5	100
"273"	725.9915254	5	100
"274"	810.9644033	5	500
"275"	673.1585103	5	500
"276"	146.5517517	5	100
"277"	732.9397719	5	100
"278"	542.6767103	5	100
"279"	779.2141971	5	100
"280"	631.527602	5	100
"281"	530.3256591	5	100
"282"	562.7826553	5	100
"283"	236.6252134	5	100
"284"	935.3202361	5	100
"285"	940.7236898	5	100
"286"	460.6869191	5	100
"287"	885.6804736	5	100
"288"	790.7324234	5	100
"289"	796.6362731	5	500
"290"	723.7934354	5	500
"291"	293.2314043	5	100
"292"	187.429806	5	100
"293"	472.8583048	5	100
"294"	551.4025912	5	100
"295"	562.5603174	5	100
"296"	663.4637497	5	100
"297"	441.9503703	5	100
"298"	810.925611	5	100
"299"	159.8045723	5	100
"300"	644.4462438	5	100
"301"	239.9442513	5	100
"302"	841.5706345	5	100
"303"	741.0809356	5	100
"304"	821.4091991	5	100
"305"	819.8222021	5	100
"306"	640.8836944	5	100
"307"	792.8972433	5	100
"308"	942.4397274	5	100
"309"	175.3857119	5	100
"310"	712.4034588	5	100
"311"	531.8457254	5	100
"312"	154.7441373	5	100
"313"	805.4318414	5	500
"314"	607.3043497	5	500
"315"	528.6562188	5	500
"316"	985.2484507	5	100
"317"	917.0562291	5	100
"318"	535.3879359	5	100
"319"	207.415076	5	100
"320"	200.2527225	5	100
"321"	973.7763305	5	100
"322"	168.5548059	5	100
"323"	935.9827397	5	100
"324"	984.5266514	5	100
"325"	260.7037587	5	100
"326"	916.3985131	5	500
"327"	948.9780157	5	500
"328"	749.1204785	5	100
"329"	635.3877248	5	500
"330"	799.6382389	5	500
"331"	885.1259179	5	100
"332"	501.9235404	5	500
"333"	555.1707417	5	500
"334"	694.4806213	5	500
"335"	373.1091437	5	100
"336"	710.3856085	5	100
"337"	286.5942589	5	100
"338"	656.5299126	5	100
"339"	408.5731115	5	100
"340"	977.1892383	5	100
"341"	687.4755505	5	100
"342"	932.6732456	5	100
"343"	140.9182757	5	100
"344"	854.3451325	5	100
